osm_id,code,fclass,name,type
"1184983595",1500,building,,
"1184983596",1500,building,,
"1184983597",1500,building,,
"1184983598",1500,building,,
"1184983599",1500,building,,
"1184983600",1500,building,,
"1184983601",1500,building,,
"1184983602",1500,building,,
"1184983603",1500,building,,
"1184983604",1500,building,,
"1184983605",1500,building,,
"1184983606",1500,building,,
"1184983607",1500,building,,
"1184983608",1500,building,,
"1184983609",1500,building,,
"1184983610",1500,building,,
"1184983611",1500,building,,
"1184983612",1500,building,,
"1184983613",1500,building,,
"1184983614",1500,building,,
"1184983615",1500,building,,
"1184983616",1500,building,,
"1184983624",1500,building,,
"1184983625",1500,building,,
"1184983626",1500,building,,
"1184983627",1500,building,,
"1184983628",1500,building,,
"1184992820",1500,building,,
"1184992821",1500,building,,
"1185312602",1500,building,,
"1185312603",1500,building,,
"1185312604",1500,building,,
"1185312605",1500,building,,
"1185312606",1500,building,,
"1185312607",1500,building,,
"1185312608",1500,building,,
"1185312609",1500,building,,
"1185312610",1500,building,,
"1185312611",1500,building,,
"1185312612",1500,building,,
"1185312613",1500,building,,
"1185312614",1500,building,,
"1185312615",1500,building,,
"1185312616",1500,building,,
"1185312617",1500,building,,
"1185312618",1500,building,,
"1185312619",1500,building,,
"1185312620",1500,building,,
"1185312621",1500,building,,
"1185312622",1500,building,,
"1185312623",1500,building,,
"1185312624",1500,building,,
"1185312625",1500,building,,
"1185312626",1500,building,,
"1185312627",1500,building,,
"1185312628",1500,building,,
"1185312629",1500,building,,
"1185312630",1500,building,,
"1185312631",1500,building,,
"1185312632",1500,building,,
"1185312633",1500,building,,
"1185312634",1500,building,,
"1185312635",1500,building,,
"1185312636",1500,building,,
"1185312637",1500,building,,
"1185312638",1500,building,,
"1185312639",1500,building,,
"1185312640",1500,building,,
"1185312641",1500,building,,
"1185312642",1500,building,,
"1185312643",1500,building,,
"1185312644",1500,building,,
"1185312645",1500,building,,
"1185312646",1500,building,,
"1185312647",1500,building,,
"1185312648",1500,building,,
"1185312649",1500,building,,
"1185312650",1500,building,,
"1185312651",1500,building,,
"1185312652",1500,building,,
"1185312653",1500,building,,
"1186004293",1500,building,,
"1186521206",1500,building,,
"1186521207",1500,building,,
"1186521208",1500,building,,
"1186521209",1500,building,,
"1186521210",1500,building,,
"1186521211",1500,building,,
"1186521212",1500,building,,
"1187256362",1500,building,,
"1187256363",1500,building,,
"1187256364",1500,building,,
"1187258586",1500,building,,
"1187258587",1500,building,,
"1187258588",1500,building,,
"1187261381",1500,building,,
"1187261383",1500,building,,
"1187261384",1500,building,,
"1187261385",1500,building,,
"1187261386",1500,building,,
"1187261387",1500,building,,
"1187261388",1500,building,,
"1187261389",1500,building,,
"1187261390",1500,building,,
"1187261391",1500,building,,
"1187261392",1500,building,,
"1187273008",1500,building,,
"1187273009",1500,building,,
"1187273010",1500,building,,
"1187273011",1500,building,,
"1187273012",1500,building,,
"1187273013",1500,building,,
"1187292167",1500,building,,
"1187292168",1500,building,,
"1187292169",1500,building,,
"1187292170",1500,building,,
"1187292171",1500,building,,
"1187292172",1500,building,,
"1187292173",1500,building,,
"1187292174",1500,building,,
"1187292176",1500,building,,
"1187333625",1500,building,,
"1187333626",1500,building,,
"1187333627",1500,building,,
"1187333628",1500,building,,
"1187333629",1500,building,,
"1187333630",1500,building,,
"1187333631",1500,building,,
"1187362614",1500,building,,
"1187362615",1500,building,,
"1187362616",1500,building,,
"1187362623",1500,building,,
"1187362624",1500,building,,
"1187362625",1500,building,,
"1187362627",1500,building,,
"1187362628",1500,building,,
"1187362629",1500,building,,
"1187362630",1500,building,,
"1187362631",1500,building,,
"1187365396",1500,building,,
"1187593228",1500,building,,
"1187593229",1500,building,,
"1187593230",1500,building,,
"1187593231",1500,building,,
"1187593232",1500,building,,
"1187593233",1500,building,,
"1187593234",1500,building,,
"1187593235",1500,building,,
"1187593236",1500,building,,
"1187593237",1500,building,,
"1187593238",1500,building,,
"1187593239",1500,building,,
"1188151221",1500,building,,
"1188151222",1500,building,,
"1188531342",1500,building,,
"1188531343",1500,building,,
"1188531344",1500,building,,
"1188652613",1500,building,,
"1188652614",1500,building,,
"1188652615",1500,building,,
"1188652617",1500,building,,
"1188652618",1500,building,,
"1188652619",1500,building,,
"1188652620",1500,building,,
"1188652621",1500,building,,
"1188652622",1500,building,,
"1188652623",1500,building,,
"1188652624",1500,building,,
"1188652625",1500,building,,
"1188652626",1500,building,,
"1188652650",1500,building,,
"1188652651",1500,building,,
"1188652652",1500,building,,
"1188652653",1500,building,,
"1188652656",1500,building,,
"1188652657",1500,building,,
"1188652658",1500,building,,
"1188652659",1500,building,,
"1188652660",1500,building,,
"1188652661",1500,building,,
"1188652662",1500,building,,
"1188652663",1500,building,,
"1188652664",1500,building,,
"1188652665",1500,building,,
"1188652666",1500,building,,
"1188652667",1500,building,,
"1188652668",1500,building,,
"1188652669",1500,building,,
"1188652670",1500,building,,
"1188652671",1500,building,,
"1188733079",1500,building,,
"1188733080",1500,building,,
"1188733081",1500,building,,
"1188733082",1500,building,,
"1188734631",1500,building,,
"1188734632",1500,building,,
"1188734633",1500,building,,
"1188734634",1500,building,,
"1188734635",1500,building,,
"1188734636",1500,building,,
"1188734637",1500,building,,
"1188734638",1500,building,,
"1188734911",1500,building,,
"1188734912",1500,building,,
"1188734913",1500,building,,
"1188734914",1500,building,,
"1188734915",1500,building,,
"1188734916",1500,building,,
"1188739102",1500,building,,
"1188739103",1500,building,,
"1188739104",1500,building,,
"1188739105",1500,building,,
"1188739106",1500,building,,
"1188739107",1500,building,,
"1188739108",1500,building,,
"1188739109",1500,building,,
"1188739110",1500,building,,
"1188739891",1500,building,,
"1188741268",1500,building,,
"1188741269",1500,building,,
"1188741270",1500,building,,
"1188741271",1500,building,,
"1188741272",1500,building,,
"1188741273",1500,building,,
"1188741274",1500,building,,
"1188741592",1500,building,,
"1188741593",1500,building,,
"1188741594",1500,building,,
"1188741595",1500,building,,
"1188741596",1500,building,,
"1188741597",1500,building,,
"1188741598",1500,building,,
"1188741599",1500,building,,
"1188741600",1500,building,,
"1188741601",1500,building,,
"1188742330",1500,building,,
"1188742331",1500,building,,
"1188742332",1500,building,,
"1188742333",1500,building,,
"1188742334",1500,building,,
"1188742335",1500,building,,
"1188742336",1500,building,,
"1188742337",1500,building,,
"1188742338",1500,building,,
"1188742339",1500,building,,
"1189146994",1500,building,,
"1189147001",1500,building,,
"1189147002",1500,building,,
"1189147003",1500,building,,
"1189147004",1500,building,,hut
"1189147005",1500,building,,
"1189147006",1500,building,,
"1189147007",1500,building,,
"1189147008",1500,building,,
"1189147009",1500,building,,
"1189147010",1500,building,,
"1189147011",1500,building,,
"1189147150",1500,building,,
"1189147151",1500,building,,
"1189147152",1500,building,,
"1189147161",1500,building,,
"1189147165",1500,building,,
"1189147166",1500,building,,
"1189147167",1500,building,,
"1189147168",1500,building,,
"1189147169",1500,building,,
"1189147170",1500,building,,
"1189147171",1500,building,,
"1189147172",1500,building,,
"1189147173",1500,building,,
"1189147174",1500,building,,
"1189147175",1500,building,,
"1189147176",1500,building,,
"1189147177",1500,building,,
"1189147178",1500,building,,
"1189147179",1500,building,,
"1189147180",1500,building,,
"1189147181",1500,building,,
"1189147182",1500,building,,
"1189147183",1500,building,,
"1189147184",1500,building,,
"1189147185",1500,building,,
"1189147186",1500,building,,
"1189147187",1500,building,,
"1189147188",1500,building,,
"1189147189",1500,building,,
"1189147190",1500,building,,
"1189147191",1500,building,,
"1189147192",1500,building,,
"1189147193",1500,building,,
"1189147194",1500,building,,
"1189147195",1500,building,,
"1189147196",1500,building,,
"1189147197",1500,building,,
"1189147198",1500,building,,
"1189147199",1500,building,,
"1189147200",1500,building,,
"1189147201",1500,building,,
"1189147202",1500,building,,
"1189147203",1500,building,,
"1189147204",1500,building,,
"1189147205",1500,building,,
"1189147206",1500,building,,
"1189147207",1500,building,,
"1189147208",1500,building,,
"1189147209",1500,building,,
"1189147210",1500,building,,
"1189147211",1500,building,,
"1189147212",1500,building,,
"1189147213",1500,building,,
"1189147217",1500,building,,
"1189147219",1500,building,,
"1189147220",1500,building,,
"1189147221",1500,building,,
"1189147222",1500,building,,
"1189147223",1500,building,,
"1189147224",1500,building,,
"1189147225",1500,building,,
"1189147226",1500,building,,
"1189147227",1500,building,,
"1189147228",1500,building,,
"1189147229",1500,building,,
"1189147230",1500,building,,
"1189147231",1500,building,,
"1189147232",1500,building,,
"1189147233",1500,building,,
"1189147234",1500,building,,
"1189147235",1500,building,,
"1189147236",1500,building,,
"1189147237",1500,building,,
"1189147238",1500,building,,
"1189147239",1500,building,,
"1189147240",1500,building,,
"1189147241",1500,building,,
"1189147242",1500,building,,
"1189147243",1500,building,,
"1189147244",1500,building,,
"1189147245",1500,building,,
"1189147246",1500,building,Chathuni Kavindya's house,
"1189147247",1500,building,,
"1189147248",1500,building,,
"1189147249",1500,building,,
"1189147250",1500,building,,
"1189147251",1500,building,,
"1189147252",1500,building,,
"1189147253",1500,building,,
"1189149709",1500,building,,
"1189149710",1500,building,,
"1189149711",1500,building,,
"1189149712",1500,building,,
"1189149713",1500,building,,
"1189149714",1500,building,,
"1189149715",1500,building,,
"1189149716",1500,building,,
"1189149717",1500,building,,
